iter	MultiClass
115	0.2959868253
116	0.2941530863
117	0.2921868285
118	0.2897669091
119	0.2881305038
120	0.2866527663
121	0.2846025423
122	0.2828014902
123	0.2805707213
124	0.2785522235
125	0.276741397
126	0.2747935432
127	0.2729805204
128	0.2714905817
129	0.2697449807
130	0.2679526148
131	0.2663811755
132	0.2649307706
133	0.2630453471
134	0.2613626896
135	0.2597450376
136	0.2582412159
137	0.2565590786
138	0.2549908054
139	0.2533463995
140	0.2517292809
141	0.2503002953
142	0.2489065443
143	0.2471743199
144	0.2458337311
145	0.2444542999
146	0.2429090183
147	0.2413829008
148	0.2397916481
149	0.2384286225
150	0.2371116879
151	0.2357877318
152	0.2343926992
153	0.2327090956
154	0.2313393642
155	0.2297064997
156	0.2281940789
157	0.2268076939
158	0.2253942244
159	0.2240786388
160	0.2227894934
161	0.2214758506
162	0.2201726571
163	0.2190317816
164	0.2177231332
165	0.2164834115
166	0.2151979405
167	0.2140447007
168	0.2128746092
169	0.2114321208
170	0.2103264902
171	0.2092530069
172	0.2081237904
173	0.2069385219
174	0.2057427927
175	0.2045601239
176	0.2034319232
177	0.2023133238
178	0.2013120781
179	0.1999383943
180	0.1989961057
181	0.1977967
182	0.1966183748
183	0.1955922965
184	0.194574837
185	0.1934246353
186	0.1923155015
187	0.1913047437
188	0.1900681386
189	0.1890852984
190	0.1879992347
191	0.1869218559
192	0.1857314072
193	0.1845764748
194	0.1837892318
195	0.1826958057
196	0.1817229872
197	0.1807722777
198	0.1796888823
199	0.1788897359
200	0.1779037267
201	0.1769780609
202	0.1760690073
203	0.1751936595
204	0.1742137141
205	0.1733042781
206	0.1723278271
207	0.1714492979
208	0.1705472873
209	0.1697136237
210	0.1690153975
211	0.1682669201
212	0.167476607
213	0.1664999125
214	0.1656363791
215	0.1647374704
216	0.164041018
217	0.1633143151
218	0.1624688945
219	0.1617232948
220	0.1610275213
221	0.1602875492
222	0.159450603
223	0.1587316511
224	0.1579522736
225	0.1572885103
226	0.1565458472
227	0.1558111756
228	0.1550801787
229	0.1544497469
230	0.1536986865
231	0.1529470888
232	0.1522661319
233	0.1515831966
234	0.1509209711
235	0.150194087
236	0.1494945672
237	0.1488177097
238	0.1481673026
239	0.1475538587
240	0.1467961589
241	0.146071373
242	0.1453531283
243	0.1446963726
244	0.1440702052
245	0.1434445791
246	0.1427633443
247	0.1420497089
248	0.1413833456
249	0.1408269276
250	0.1402148531
251	0.1396696955
252	0.1390604672
253	0.1384285676
254	0.1377910193
255	0.1371151446
256	0.1366038961
257	0.1360533382
258	0.1354787022
259	0.1349366383
260	0.1343397887
261	0.133723929
262	0.1330911925
263	0.132478771
264	0.1319327987
265	0.131282597
266	0.1306931091
267	0.1300377616
268	0.1294974841
269	0.1289576933
270	0.1283752087
271	0.1279084889
272	0.1274475171
273	0.1268968173
274	0.1263207151
275	0.1258205405
276	0.125278684
277	0.1247888956
278	0.1242600153
279	0.123638933
280	0.1230673137
281	0.1225859495
282	0.1221745612
283	0.1216554237
284	0.1211604732
285	0.1206852553
286	0.1202054539
287	0.1196290539
288	0.1192301256
289	0.1187205424
290	0.1182400123
291	0.1177237955
292	0.1172117558
293	0.1166527737
294	0.1161504289
295	0.1156934047
296	0.1152219411
297	0.1147927849
298	0.1143754132
299	0.1138584189
300	0.1134231593
301	0.1130354788
302	0.1126061236
303	0.1122038181
304	0.1117773035
305	0.1114257232
306	0.1111022475
307	0.1106497815
308	0.1102222762
309	0.1098533593
310	0.1093190668
311	0.1089168634
312	0.1084381703
313	0.1080791075
314	0.1076252998
315	0.107237186
316	0.1068283417
317	0.1064631437
318	0.1060315201
319	0.1056442106
320	0.1053222244
321	0.1049060144
322	0.1044533873
323	0.1040874128
324	0.1037072041
325	0.1032676047
326	0.1029146088
327	0.1025635956
328	0.1021183829
329	0.1017713626
330	0.1014222074
331	0.1010215133
332	0.1006188428
333	0.1002724045
334	0.09991900336
335	0.09960739423
336	0.09922855588
337	0.0988721978
338	0.09848820848
339	0.09806132128
340	0.09765376176
341	0.09724327111
342	0.09688534607
343	0.09648975488
344	0.09614049226
345	0.09572399057
346	0.09538655866
347	0.09505909512
348	0.09478031253
349	0.09445494392
350	0.0940958619
351	0.09369283528
352	0.09340067929
353	0.09311924806
354	0.09280819456
355	0.09247507145
356	0.09210560081
357	0.09179967612
358	0.09152666971
359	0.09122076597
360	0.09091987589
361	0.09058378002
362	0.09021250964
363	0.08990298054
364	0.08959333564
365	0.089320474
366	0.08904166918
367	0.0887030239
368	0.08833827234
369	0.08806435135
370	0.0877910668
371	0.08748333087
372	0.08716048432
373	0.08684642439
374	0.08654988313
375	0.08624591491
376	0.08595645242
377	0.08573127135
378	0.08547436164
379	0.08525060332
380	0.08499159601
381	0.08468477626
382	0.08438374899
383	0.0841225033
384	0.08382140147
385	0.08353785881
386	0.08330754581
387	0.08306842194
388	0.08283693083
389	0.0825664184
390	0.08230947731
391	0.08207141718
392	0.08176535192
393	0.08153070829
394	0.0812949806
395	0.08101872797
396	0.08073296369
397	0.08042697292
398	0.08017089777
399	0.07994565605
400	0.07969349995
401	0.07945902223
402	0.07920488819
403	0.07897708199
404	0.07873298071
405	0.07845790896
406	0.07816651937
407	0.07789074017
408	0.07763740714
409	0.07738954948
410	0.07712371797
411	0.07690032635
412	0.0766745416
413	0.07644852408
414	0.07621998012
415	0.07602187813
416	0.07578514509
417	0.07556368731
418	0.07535275765
419	0.07510004441
420	0.07487282188
421	0.07468715647
422	0.07444951475
423	0.07428076404
424	0.07406507689
425	0.07383606175
426	0.07362338502
427	0.0734158295
428	0.07323074246
429	0.07302291336
430	0.07278022973
431	0.07250723601
432	0.07231016231
433	0.0721348988
434	0.07189413808
435	0.07172117126
436	0.07150478861
437	0.07133322866
438	0.07109860994
439	0.07086422835
440	0.07059274654
441	0.07040785771
442	0.07024886384
443	0.07002030398
444	0.06983711426
445	0.06962760615
446	0.06945321837
447	0.06927948746
448	0.06902224519
449	0.0688268226
450	0.06863854253
451	0.06846749265
452	0.06828436796
453	0.06808262585
454	0.06783979455
455	0.06765628555
456	0.06745804062
457	0.06723634183
458	0.06705811891
459	0.06688331339
460	0.06669370162
461	0.06648505256
462	0.06630348487
463	0.06613953292
464	0.06593928265
465	0.06576943955
466	0.0655589372
467	0.06536337616
468	0.06516783829
469	0.06496403277
470	0.06476933057
471	0.06458401198
472	0.06440827796
473	0.06423722878
474	0.06410718449
475	0.06396073391
476	0.06379221755
477	0.06359482923
478	0.06340521674
479	0.06326220069
480	0.06308615431
481	0.06292355731
482	0.06271746765
483	0.06257338324
484	0.0624286006
485	0.06228215902
486	0.06212119554
487	0.06196969353
488	0.06178694255
489	0.06164394773
490	0.06148357799
491	0.06134016884
492	0.06117967966
493	0.06100586944
494	0.06083787418
495	0.06064579764
496	0.06049104232
497	0.06036858649
498	0.0602147912
499	0.06004605525
